id,text,language
5342,Could be better.,en
5343,मैं इससे खुश नहीं हूँ।,hi
5344,Worst day ever.,en
5345,مقبول لكنه ليس الأفضل,ar
5346,خوب بود اما می‌توانست بهتر باشد,fa
5347,Worst day ever.,en
5348,I am so tired of this nonsense.,en
5349,لا يعجبني هذا,ar
5350,Das war unglaublich!,de
5351,Could be better.,en
5352,این بهترین روز من بود,fa
5353,خوب بود اما می‌توانست بهتر باشد,fa
5354,मैं इससे खुश नहीं हूँ।,hi
5355,"Nicht schlecht, aber nicht gut.",de
5356,What a beautiful day!,en
5357,مقبول لكنه ليس الأفضل,ar
5358,لا يعجبني هذا,ar
5359,I love this!,en
5360,I am so tired of this nonsense.,en
5361,Could be better.,en
5362,لا يعجبني هذا,ar
5363,I love this!,en
5364,من خیلی ناراحتم,fa
5365,Could be better.,en
5366,مقبول لكنه ليس الأفضل,ar
5367,این بهترین روز من بود,fa
5368,اليوم كان رائعًا,ar
5369,"Nicht schlecht, aber nicht gut.",de
5370,Absolutely fantastic experience!,en
5371,Could be better.,en
5372,خوب بود اما می‌توانست بهتر باشد,fa
5373,اليوم كان رائعًا,ar
5374,اليوم كان رائعًا,ar
5375,"Nicht schlecht, aber nicht gut.",de
5376,What a beautiful day!,en
5377,Das war unglaublich!,de
5378,لا يعجبني هذا,ar
5379,مقبول لكنه ليس الأفضل,ar
5380,لا يعجبني هذا,ar
5381,لا يعجبني هذا,ar
5382,This is terrible...,en
5383,Ich bin enttäuscht.,de
5384,Das war unglaublich!,de
5385,Absolutely fantastic experience!,en
5386,Could be better.,en
5387,मैं इससे खुश नहीं हूँ।,hi
5388,मैं इससे खुश नहीं हूँ।,hi
5389,मैं इससे खुश नहीं हूँ।,hi
5390,Worst day ever.,en
5391,Ich bin enttäuscht.,de
5392,لا يعجبني هذا,ar
5393,Das war unglaublich!,de
5394,من خیلی ناراحتم,fa
5395,خوب بود اما می‌توانست بهتر باشد,fa
5396,Ich bin enttäuscht.,de
5397,لا يعجبني هذا,ar
5398,बहुत ही अच्छा प्रदर्शन!,hi
5399,यह ठीक था।,hi
5400,Could be better.,en
5401,مقبول لكنه ليس الأفضل,ar
5402,बहुत ही अच्छा प्रदर्शन!,hi
5403,Ich bin enttäuscht.,de
5404,Could be better.,en
5405,مقبول لكنه ليس الأفضل,ar
5406,مقبول لكنه ليس الأفضل,ar
5407,This is terrible...,en
5408,Could be better.,en
5409,I am so tired of this nonsense.,en
5410,Worst day ever.,en
5411,لا يعجبني هذا,ar
5412,مقبول لكنه ليس الأفضل,ar
5413,What a beautiful day!,en
5414,यह ठीक था।,hi
5415,I love this!,en
5416,خوب بود اما می‌توانست بهتر باشد,fa
5417,This is terrible...,en
5418,خوب بود اما می‌توانست بهتر باشد,fa
5419,Das war unglaublich!,de
5420,मैं इससे खुश नहीं हूँ।,hi
5421,Das war unglaublich!,de
5422,बहुत ही अच्छा प्रदर्शन!,hi
5423,اليوم كان رائعًا,ar
5424,لا يعجبني هذا,ar
5425,मैं इससे खुश नहीं हूँ।,hi
5426,What a beautiful day!,en
5427,Ich bin enttäuscht.,de
5428,خوب بود اما می‌توانست بهتر باشد,fa
5429,مقبول لكنه ليس الأفضل,ar
5430,Could be better.,en
5431,خوب بود اما می‌توانست بهتر باشد,fa
5432,Das war unglaublich!,de
5433,Das war unglaublich!,de
5434,Worst day ever.,en
5435,Could be better.,en
5436,اليوم كان رائعًا,ar
5437,لا يعجبني هذا,ar
5438,मैं इससे खुश नहीं हूँ।,hi
5439,I love this!,en
5440,Das war unglaublich!,de
5441,I am so tired of this nonsense.,en
5442,बहुत ही अच्छा प्रदर्शन!,hi
5443,यह ठीक था।,hi
5444,من خیلی ناراحتم,fa
5445,What a beautiful day!,en
5446,यह ठीक था।,hi
5447,اليوم كان رائعًا,ar
5448,من خیلی ناراحتم,fa
5449,I am so tired of this nonsense.,en
5450,Ich bin enttäuscht.,de
5451,لا يعجبني هذا,ar
5452,این بهترین روز من بود,fa
5453,यह ठीक था।,hi
5454,خوب بود اما می‌توانست بهتر باشد,fa
5455,Worst day ever.,en
5456,این بهترین روز من بود,fa
5457,Worst day ever.,en
5458,I am so tired of this nonsense.,en
5459,यह ठीक था।,hi
5460,मैं इससे खुश नहीं हूँ।,hi
5461,مقبول لكنه ليس الأفضل,ar
5462,मैं इससे खुश नहीं हूँ।,hi
5463,Absolutely fantastic experience!,en
5464,Worst day ever.,en
5465,I love this!,en
5466,Das war unglaublich!,de
5467,این بهترین روز من بود,fa
5468,What a beautiful day!,en
5469,مقبول لكنه ليس الأفضل,ar
5470,من خیلی ناراحتم,fa
5471,I am so tired of this nonsense.,en
5472,This is terrible...,en
5473,اليوم كان رائعًا,ar
5474,لا يعجبني هذا,ar
5475,बहुत ही अच्छा प्रदर्शन!,hi
5476,مقبول لكنه ليس الأفضل,ar
5477,Ich bin enttäuscht.,de
5478,Worst day ever.,en
5479,I am so tired of this nonsense.,en
5480,"Nicht schlecht, aber nicht gut.",de
5481,Ich bin enttäuscht.,de
5482,اليوم كان رائعًا,ar
5483,Das war unglaublich!,de
5484,Ich bin enttäuscht.,de
5485,اليوم كان رائعًا,ar
5486,لا يعجبني هذا,ar
5487,यह ठीक था।,hi
5488,اليوم كان رائعًا,ar
5489,من خیلی ناراحتم,fa
5490,خوب بود اما می‌توانست بهتر باشد,fa
5491,Worst day ever.,en
5492,मैं इससे खुश नहीं हूँ।,hi
5493,Ich bin enttäuscht.,de
5494,बहुत ही अच्छा प्रदर्शन!,hi
5495,मैं इससे खुश नहीं हूँ।,hi
5496,این بهترین روز من بود,fa
5497,Absolutely fantastic experience!,en
5498,This is terrible...,en
5499,خوب بود اما می‌توانست بهتر باشد,fa
5500,Worst day ever.,en
5501,Ich bin enttäuscht.,de
5502,What a beautiful day!,en
5503,این بهترین روز من بود,fa
5504,Could be better.,en
5505,यह ठीक था।,hi
5506,What a beautiful day!,en
5507,Absolutely fantastic experience!,en
5508,من خیلی ناراحتم,fa
5509,Das war unglaublich!,de
5510,من خیلی ناراحتم,fa
5511,बहुत ही अच्छा प्रदर्शन!,hi
5512,"Nicht schlecht, aber nicht gut.",de
5513,Worst day ever.,en
5514,मैं इससे खुश नहीं हूँ।,hi
5515,Das war unglaublich!,de
5516,बहुत ही अच्छा प्रदर्शन!,hi
5517,Das war unglaublich!,de
5518,This is terrible...,en
5519,Das war unglaublich!,de
5520,बहुत ही अच्छा प्रदर्शन!,hi
5521,Could be better.,en
5522,I love this!,en
5523,Ich bin enttäuscht.,de
5524,این بهترین روز من بود,fa
5525,خوب بود اما می‌توانست بهتر باشد,fa
5526,اليوم كان رائعًا,ar
5527,Ich bin enttäuscht.,de
5528,Ich bin enttäuscht.,de
5529,Ich bin enttäuscht.,de
5530,Absolutely fantastic experience!,en
5531,Worst day ever.,en
5532,यह ठीक था।,hi
5533,Ich bin enttäuscht.,de
5534,Absolutely fantastic experience!,en
5535,मैं इससे खुश नहीं हूँ।,hi
5536,"Nicht schlecht, aber nicht gut.",de
5537,मैं इससे खुश नहीं हूँ।,hi
5538,اليوم كان رائعًا,ar
5539,من خیلی ناراحتم,fa
5540,لا يعجبني هذا,ar
5541,این بهترین روز من بود,fa
5542,اليوم كان رائعًا,ar
5543,Das war unglaublich!,de
5544,What a beautiful day!,en
5545,Could be better.,en
5546,این بهترین روز من بود,fa
5547,मैं इससे खुश नहीं हूँ।,hi
5548,I love this!,en
5549,مقبول لكنه ليس الأفضل,ar
5550,यह ठीक था।,hi
5551,این بهترین روز من بود,fa
5552,Ich bin enttäuscht.,de
5553,لا يعجبني هذا,ar
5554,اليوم كان رائعًا,ar
5555,Worst day ever.,en
5556,I love this!,en
5557,Ich bin enttäuscht.,de
5558,बहुत ही अच्छा प्रदर्शन!,hi
5559,"Nicht schlecht, aber nicht gut.",de
5560,मैं इससे खुश नहीं हूँ।,hi
5561,مقبول لكنه ليس الأفضل,ar
5562,Could be better.,en
5563,این بهترین روز من بود,fa
5564,مقبول لكنه ليس الأفضل,ar
5565,I love this!,en
5566,What a beautiful day!,en
5567,This is terrible...,en
5568,"Nicht schlecht, aber nicht gut.",de
5569,اليوم كان رائعًا,ar
5570,"Nicht schlecht, aber nicht gut.",de
5571,مقبول لكنه ليس الأفضل,ar
5572,Worst day ever.,en
5573,مقبول لكنه ليس الأفضل,ar
5574,Worst day ever.,en
5575,बहुत ही अच्छा प्रदर्शन!,hi
5576,Could be better.,en
5577,बहुत ही अच्छा प्रदर्शन!,hi
5578,Ich bin enttäuscht.,de
5579,من خیلی ناراحتم,fa
5580,I am so tired of this nonsense.,en
5581,I love this!,en
5582,خوب بود اما می‌توانست بهتر باشد,fa
5583,"Nicht schlecht, aber nicht gut.",de
5584,من خیلی ناراحتم,fa
5585,من خیلی ناراحتم,fa
5586,اليوم كان رائعًا,ar
5587,خوب بود اما می‌توانست بهتر باشد,fa
5588,I love this!,en
5589,I love this!,en
5590,لا يعجبني هذا,ar
5591,من خیلی ناراحتم,fa
5592,خوب بود اما می‌توانست بهتر باشد,fa
5593,خوب بود اما می‌توانست بهتر باشد,fa
5594,خوب بود اما می‌توانست بهتر باشد,fa
5595,This is terrible...,en
5596,यह ठीक था।,hi
5597,यह ठीक था।,hi
5598,What a beautiful day!,en
5599,I love this!,en
5600,Ich bin enttäuscht.,de
5601,مقبول لكنه ليس الأفضل,ar
5602,Absolutely fantastic experience!,en
5603,Ich bin enttäuscht.,de
5604,مقبول لكنه ليس الأفضل,ar
5605,बहुत ही अच्छा प्रदर्शन!,hi
5606,Could be better.,en
5607,این بهترین روز من بود,fa
5608,Absolutely fantastic experience!,en
5609,I am so tired of this nonsense.,en
5610,Absolutely fantastic experience!,en
5611,I am so tired of this nonsense.,en
5612,What a beautiful day!,en
5613,اليوم كان رائعًا,ar
5614,यह ठीक था।,hi
5615,این بهترین روز من بود,fa
5616,Das war unglaublich!,de
5617,اليوم كان رائعًا,ar
5618,This is terrible...,en
5619,मैं इससे खुश नहीं हूँ।,hi
5620,This is terrible...,en
5621,I am so tired of this nonsense.,en
5622,Could be better.,en
5623,خوب بود اما می‌توانست بهتر باشد,fa
5624,اليوم كان رائعًا,ar
5625,मैं इससे खुश नहीं हूँ।,hi
5626,من خیلی ناراحتم,fa
5627,"Nicht schlecht, aber nicht gut.",de
5628,Absolutely fantastic experience!,en
5629,बहुत ही अच्छा प्रदर्शन!,hi
5630,Worst day ever.,en
5631,This is terrible...,en
5632,यह ठीक था।,hi
5633,यह ठीक था।,hi
5634,Absolutely fantastic experience!,en
5635,Absolutely fantastic experience!,en
5636,خوب بود اما می‌توانست بهتر باشد,fa
5637,این بهترین روز من بود,fa
5638,Worst day ever.,en
5639,اليوم كان رائعًا,ar
5640,Worst day ever.,en
5641,من خیلی ناراحتم,fa
5642,यह ठीक था।,hi
5643,Ich bin enttäuscht.,de
5644,मैं इससे खुश नहीं हूँ।,hi
5645,बहुत ही अच्छा प्रदर्शन!,hi
5646,من خیلی ناراحتم,fa
5647,Could be better.,en
5648,What a beautiful day!,en
5649,What a beautiful day!,en
5650,I am so tired of this nonsense.,en
5651,यह ठीक था।,hi
5652,مقبول لكنه ليس الأفضل,ar
5653,Das war unglaublich!,de
5654,बहुत ही अच्छा प्रदर्शन!,hi
5655,مقبول لكنه ليس الأفضل,ar
5656,اليوم كان رائعًا,ar
5657,من خیلی ناراحتم,fa
5658,مقبول لكنه ليس الأفضل,ar
5659,Absolutely fantastic experience!,en
5660,خوب بود اما می‌توانست بهتر باشد,fa
5661,Could be better.,en
5662,This is terrible...,en
5663,خوب بود اما می‌توانست بهتر باشد,fa
5664,Worst day ever.,en
5665,मैं इससे खुश नहीं हूँ।,hi
5666,Ich bin enttäuscht.,de
5667,Could be better.,en
5668,"Nicht schlecht, aber nicht gut.",de
5669,What a beautiful day!,en
5670,مقبول لكنه ليس الأفضل,ar
5671,What a beautiful day!,en
5672,مقبول لكنه ليس الأفضل,ar
5673,Ich bin enttäuscht.,de
5674,I am so tired of this nonsense.,en
5675,Absolutely fantastic experience!,en
5676,خوب بود اما می‌توانست بهتر باشد,fa
5677,What a beautiful day!,en
5678,यह ठीक था।,hi
5679,Could be better.,en
5680,I am so tired of this nonsense.,en
5681,خوب بود اما می‌توانست بهتر باشد,fa
5682,Ich bin enttäuscht.,de
5683,What a beautiful day!,en
5684,مقبول لكنه ليس الأفضل,ar
5685,اليوم كان رائعًا,ar
5686,"Nicht schlecht, aber nicht gut.",de
5687,مقبول لكنه ليس الأفضل,ar
5688,من خیلی ناراحتم,fa
5689,خوب بود اما می‌توانست بهتر باشد,fa
5690,Could be better.,en
5691,Das war unglaublich!,de
5692,Das war unglaublich!,de
5693,यह ठीक था।,hi
5694,Absolutely fantastic experience!,en
5695,مقبول لكنه ليس الأفضل,ar
5696,Absolutely fantastic experience!,en
5697,خوب بود اما می‌توانست بهتر باشد,fa
5698,I love this!,en
5699,"Nicht schlecht, aber nicht gut.",de
5700,مقبول لكنه ليس الأفضل,ar
5701,मैं इससे खुश नहीं हूँ।,hi
5702,This is terrible...,en
5703,यह ठीक था।,hi
5704,Das war unglaublich!,de
5705,Could be better.,en
5706,What a beautiful day!,en
5707,من خیلی ناراحتم,fa
5708,Ich bin enttäuscht.,de
5709,این بهترین روز من بود,fa
5710,This is terrible...,en
5711,I love this!,en
5712,Ich bin enttäuscht.,de
5713,Absolutely fantastic experience!,en
5714,من خیلی ناراحتم,fa
5715,मैं इससे खुश नहीं हूँ।,hi
5716,مقبول لكنه ليس الأفضل,ar
5717,لا يعجبني هذا,ar
5718,I am so tired of this nonsense.,en
5719,मैं इससे खुश नहीं हूँ।,hi
5720,مقبول لكنه ليس الأفضل,ar
5721,مقبول لكنه ليس الأفضل,ar
5722,What a beautiful day!,en
5723,Worst day ever.,en
5724,This is terrible...,en
5725,Absolutely fantastic experience!,en
5726,यह ठीक था।,hi
5727,Worst day ever.,en
5728,لا يعجبني هذا,ar
5729,यह ठीक था।,hi
5730,बहुत ही अच्छा प्रदर्शन!,hi
5731,Das war unglaublich!,de
5732,Worst day ever.,en
5733,This is terrible...,en
5734,"Nicht schlecht, aber nicht gut.",de
5735,این بهترین روز من بود,fa
5736,Ich bin enttäuscht.,de
5737,خوب بود اما می‌توانست بهتر باشد,fa
5738,बहुत ही अच्छा प्रदर्शन!,hi
5739,Worst day ever.,en
5740,من خیلی ناراحتم,fa
5741,यह ठीक था।,hi
5742,Worst day ever.,en
5743,Das war unglaublich!,de
5744,What a beautiful day!,en
5745,خوب بود اما می‌توانست بهتر باشد,fa
5746,اليوم كان رائعًا,ar
5747,Ich bin enttäuscht.,de
5748,यह ठीक था।,hi
5749,I love this!,en
5750,لا يعجبني هذا,ar
5751,این بهترین روز من بود,fa
5752,لا يعجبني هذا,ar
5753,This is terrible...,en
5754,Ich bin enttäuscht.,de
5755,Could be better.,en
5756,This is terrible...,en
5757,خوب بود اما می‌توانست بهتر باشد,fa
5758,I love this!,en
5759,مقبول لكنه ليس الأفضل,ar
5760,बहुत ही अच्छा प्रदर्शन!,hi
5761,यह ठीक था।,hi
5762,यह ठीक था।,hi
5763,यह ठीक था।,hi
5764,این بهترین روز من بود,fa
5765,این بهترین روز من بود,fa
5766,"Nicht schlecht, aber nicht gut.",de
5767,मैं इससे खुश नहीं हूँ।,hi
5768,این بهترین روز من بود,fa
5769,यह ठीक था।,hi
5770,من خیلی ناراحتم,fa
5771,Ich bin enttäuscht.,de
5772,این بهترین روز من بود,fa
5773,I love this!,en
5774,यह ठीक था।,hi
5775,خوب بود اما می‌توانست بهتر باشد,fa
5776,I am so tired of this nonsense.,en
5777,What a beautiful day!,en
5778,من خیلی ناراحتم,fa
5779,मैं इससे खुश नहीं हूँ।,hi
5780,"Nicht schlecht, aber nicht gut.",de
5781,مقبول لكنه ليس الأفضل,ar
5782,لا يعجبني هذا,ar
5783,لا يعجبني هذا,ar
5784,مقبول لكنه ليس الأفضل,ar
5785,من خیلی ناراحتم,fa
5786,لا يعجبني هذا,ar
5787,Absolutely fantastic experience!,en
5788,Das war unglaublich!,de
5789,"Nicht schlecht, aber nicht gut.",de
5790,مقبول لكنه ليس الأفضل,ar
5791,What a beautiful day!,en
5792,I am so tired of this nonsense.,en
5793,من خیلی ناراحتم,fa
5794,मैं इससे खुश नहीं हूँ।,hi
5795,Das war unglaublich!,de
5796,मैं इससे खुश नहीं हूँ।,hi
5797,What a beautiful day!,en
5798,"Nicht schlecht, aber nicht gut.",de
5799,मैं इससे खुश नहीं हूँ।,hi
5800,مقبول لكنه ليس الأفضل,ar
5801,من خیلی ناراحتم,fa
5802,Das war unglaublich!,de
5803,यह ठीक था।,hi
5804,बहुत ही अच्छा प्रदर्शन!,hi
5805,مقبول لكنه ليس الأفضل,ar
5806,बहुत ही अच्छा प्रदर्शन!,hi
5807,مقبول لكنه ليس الأفضل,ar
5808,این بهترین روز من بود,fa
5809,مقبول لكنه ليس الأفضل,ar
5810,Could be better.,en
5811,मैं इससे खुश नहीं हूँ।,hi
5812,This is terrible...,en
5813,مقبول لكنه ليس الأفضل,ar
5814,मैं इससे खुश नहीं हूँ।,hi
5815,What a beautiful day!,en
5816,لا يعجبني هذا,ar
5817,Absolutely fantastic experience!,en
5818,لا يعجبني هذا,ar
5819,I love this!,en
5820,Could be better.,en
5821,यह ठीक था।,hi
5822,I am so tired of this nonsense.,en
5823,اليوم كان رائعًا,ar
5824,مقبول لكنه ليس الأفضل,ar
5825,Ich bin enttäuscht.,de
5826,बहुत ही अच्छा प्रदर्शन!,hi
5827,خوب بود اما می‌توانست بهتر باشد,fa
5828,Worst day ever.,en
5829,Ich bin enttäuscht.,de
5830,مقبول لكنه ليس الأفضل,ar
5831,لا يعجبني هذا,ar
5832,Could be better.,en
5833,من خیلی ناراحتم,fa
5834,I am so tired of this nonsense.,en
5835,Absolutely fantastic experience!,en
5836,Worst day ever.,en
5837,Absolutely fantastic experience!,en
5838,Could be better.,en
5839,Das war unglaublich!,de
5840,I love this!,en
5841,Ich bin enttäuscht.,de
5842,لا يعجبني هذا,ar
5843,Das war unglaublich!,de
5844,Das war unglaublich!,de
5845,Could be better.,en
5846,यह ठीक था।,hi
5847,"Nicht schlecht, aber nicht gut.",de
5848,Worst day ever.,en
5849,I am so tired of this nonsense.,en
5850,यह ठीक था।,hi
5851,Das war unglaublich!,de
5852,خوب بود اما می‌توانست بهتر باشد,fa
5853,बहुत ही अच्छा प्रदर्शन!,hi
5854,I am so tired of this nonsense.,en
5855,What a beautiful day!,en
5856,What a beautiful day!,en
5857,Das war unglaublich!,de
5858,Absolutely fantastic experience!,en
5859,What a beautiful day!,en
5860,Could be better.,en
5861,मैं इससे खुश नहीं हूँ।,hi
5862,Could be better.,en
5863,"Nicht schlecht, aber nicht gut.",de
5864,What a beautiful day!,en
5865,I love this!,en
5866,اليوم كان رائعًا,ar
5867,این بهترین روز من بود,fa
5868,What a beautiful day!,en
5869,Das war unglaublich!,de
5870,من خیلی ناراحتم,fa
5871,این بهترین روز من بود,fa
5872,This is terrible...,en
5873,لا يعجبني هذا,ar
5874,Ich bin enttäuscht.,de
5875,"Nicht schlecht, aber nicht gut.",de
5876,لا يعجبني هذا,ar
5877,Could be better.,en
5878,Absolutely fantastic experience!,en
5879,لا يعجبني هذا,ar
5880,मैं इससे खुश नहीं हूँ।,hi
5881,Worst day ever.,en
5882,خوب بود اما می‌توانست بهتر باشد,fa
5883,مقبول لكنه ليس الأفضل,ar
5884,मैं इससे खुश नहीं हूँ।,hi
5885,مقبول لكنه ليس الأفضل,ar
5886,این بهترین روز من بود,fa
5887,من خیلی ناراحتم,fa
5888,اليوم كان رائعًا,ar
5889,Absolutely fantastic experience!,en
5890,اليوم كان رائعًا,ar
5891,این بهترین روز من بود,fa
5892,Das war unglaublich!,de
5893,Das war unglaublich!,de
5894,बहुत ही अच्छा प्रदर्शन!,hi
5895,I love this!,en
5896,خوب بود اما می‌توانست بهتر باشد,fa
5897,لا يعجبني هذا,ar
5898,बहुत ही अच्छा प्रदर्शन!,hi
5899,यह ठीक था।,hi
5900,I love this!,en
5901,Ich bin enttäuscht.,de
5902,बहुत ही अच्छा प्रदर्शन!,hi
5903,बहुत ही अच्छा प्रदर्शन!,hi
5904,اليوم كان رائعًا,ar
5905,Worst day ever.,en
5906,Could be better.,en
5907,यह ठीक था।,hi
5908,This is terrible...,en
5909,I love this!,en
5910,"Nicht schlecht, aber nicht gut.",de
5911,من خیلی ناراحتم,fa
5912,Das war unglaublich!,de
5913,बहुत ही अच्छा प्रदर्शन!,hi
5914,What a beautiful day!,en
5915,لا يعجبني هذا,ar
5916,"Nicht schlecht, aber nicht gut.",de
5917,What a beautiful day!,en
5918,मैं इससे खुश नहीं हूँ।,hi
5919,Das war unglaublich!,de
5920,I am so tired of this nonsense.,en
5921,मैं इससे खुश नहीं हूँ।,hi
5922,यह ठीक था।,hi
5923,من خیلی ناراحتم,fa
5924,مقبول لكنه ليس الأفضل,ar
5925,I am so tired of this nonsense.,en
5926,बहुत ही अच्छा प्रदर्शन!,hi
5927,यह ठीक था।,hi
5928,I am so tired of this nonsense.,en
5929,Das war unglaublich!,de
5930,बहुत ही अच्छा प्रदर्शन!,hi
5931,I love this!,en
5932,Absolutely fantastic experience!,en
5933,خوب بود اما می‌توانست بهتر باشد,fa
5934,اليوم كان رائعًا,ar
5935,خوب بود اما می‌توانست بهتر باشد,fa
5936,خوب بود اما می‌توانست بهتر باشد,fa
5937,I love this!,en
5938,لا يعجبني هذا,ar
5939,This is terrible...,en
5940,मैं इससे खुश नहीं हूँ।,hi
5941,اليوم كان رائعًا,ar
5942,I love this!,en
5943,Absolutely fantastic experience!,en
5944,Das war unglaublich!,de
5945,من خیلی ناراحتم,fa
5946,बहुत ही अच्छा प्रदर्शन!,hi
5947,من خیلی ناراحتم,fa
5948,I am so tired of this nonsense.,en
5949,خوب بود اما می‌توانست بهتر باشد,fa
5950,Could be better.,en
5951,I am so tired of this nonsense.,en
5952,यह ठीक था।,hi
5953,बहुत ही अच्छा प्रदर्शन!,hi
5954,مقبول لكنه ليس الأفضل,ar
5955,"Nicht schlecht, aber nicht gut.",de
5956,This is terrible...,en
5957,I am so tired of this nonsense.,en
5958,I am so tired of this nonsense.,en
5959,Ich bin enttäuscht.,de
5960,خوب بود اما می‌توانست بهتر باشد,fa
5961,Das war unglaublich!,de
5962,I love this!,en
5963,"Nicht schlecht, aber nicht gut.",de
5964,این بهترین روز من بود,fa
5965,Could be better.,en
5966,لا يعجبني هذا,ar
5967,I love this!,en
5968,This is terrible...,en
5969,مقبول لكنه ليس الأفضل,ar
5970,I love this!,en
5971,لا يعجبني هذا,ar
5972,Could be better.,en
5973,Could be better.,en
5974,این بهترین روز من بود,fa
5975,Absolutely fantastic experience!,en
5976,मैं इससे खुश नहीं हूँ।,hi
5977,من خیلی ناراحتم,fa
5978,Ich bin enttäuscht.,de
5979,لا يعجبني هذا,ar
5980,Could be better.,en
5981,यह ठीक था।,hi
5982,Das war unglaublich!,de
5983,Das war unglaublich!,de
5984,Could be better.,en
5985,این بهترین روز من بود,fa
5986,What a beautiful day!,en
5987,"Nicht schlecht, aber nicht gut.",de
5988,اليوم كان رائعًا,ar
5989,I love this!,en
5990,This is terrible...,en
5991,I am so tired of this nonsense.,en
5992,Ich bin enttäuscht.,de
5993,बहुत ही अच्छा प्रदर्शन!,hi
5994,Ich bin enttäuscht.,de
5995,من خیلی ناراحتم,fa
5996,बहुत ही अच्छा प्रदर्शन!,hi
5997,خوب بود اما می‌توانست بهتر باشد,fa
5998,Das war unglaublich!,de
5999,من خیلی ناراحتم,fa
6000,I am so tired of this nonsense.,en
6001,"Nicht schlecht, aber nicht gut.",de
6002,من خیلی ناراحتم,fa
6003,خوب بود اما می‌توانست بهتر باشد,fa
6004,اليوم كان رائعًا,ar
6005,What a beautiful day!,en
6006,I am so tired of this nonsense.,en
6007,मैं इससे खुश नहीं हूँ।,hi
6008,I am so tired of this nonsense.,en
6009,لا يعجبني هذا,ar
6010,What a beautiful day!,en
6011,Das war unglaublich!,de
6012,What a beautiful day!,en
6013,I am so tired of this nonsense.,en
6014,من خیلی ناراحتم,fa
6015,Absolutely fantastic experience!,en
6016,बहुत ही अच्छा प्रदर्शन!,hi
6017,Das war unglaublich!,de
6018,This is terrible...,en
6019,این بهترین روز من بود,fa
6020,Ich bin enttäuscht.,de
6021,مقبول لكنه ليس الأفضل,ar
6022,Ich bin enttäuscht.,de
6023,من خیلی ناراحتم,fa
6024,مقبول لكنه ليس الأفضل,ar
6025,बहुत ही अच्छा प्रदर्शन!,hi
6026,من خیلی ناراحتم,fa
6027,خوب بود اما می‌توانست بهتر باشد,fa
6028,اليوم كان رائعًا,ar
6029,مقبول لكنه ليس الأفضل,ar
6030,बहुत ही अच्छा प्रदर्शन!,hi
6031,اليوم كان رائعًا,ar
6032,"Nicht schlecht, aber nicht gut.",de
6033,Ich bin enttäuscht.,de
6034,I love this!,en
6035,यह ठीक था।,hi
6036,बहुत ही अच्छा प्रदर्शन!,hi
6037,What a beautiful day!,en
6038,این بهترین روز من بود,fa
6039,यह ठीक था।,hi
6040,مقبول لكنه ليس الأفضل,ar
6041,मैं इससे खुश नहीं हूँ।,hi
6042,I am so tired of this nonsense.,en
6043,What a beautiful day!,en
6044,من خیلی ناراحتم,fa
6045,बहुत ही अच्छा प्रदर्शन!,hi
6046,मैं इससे खुश नहीं हूँ।,hi
6047,यह ठीक था।,hi
6048,Worst day ever.,en
6049,मैं इससे खुश नहीं हूँ।,hi
6050,من خیلی ناراحتم,fa
6051,मैं इससे खुश नहीं हूँ।,hi
6052,This is terrible...,en
6053,मैं इससे खुश नहीं हूँ।,hi
6054,این بهترین روز من بود,fa
6055,این بهترین روز من بود,fa
6056,मैं इससे खुश नहीं हूँ।,hi
6057,Could be better.,en
6058,What a beautiful day!,en
6059,اليوم كان رائعًا,ar
6060,What a beautiful day!,en
6061,مقبول لكنه ليس الأفضل,ar
6062,This is terrible...,en
6063,मैं इससे खुश नहीं हूँ।,hi
6064,What a beautiful day!,en
6065,Worst day ever.,en
6066,मैं इससे खुश नहीं हूँ।,hi
6067,What a beautiful day!,en
6068,اليوم كان رائعًا,ar
6069,I am so tired of this nonsense.,en
6070,Absolutely fantastic experience!,en
6071,यह ठीक था।,hi
6072,لا يعجبني هذا,ar
6073,Could be better.,en
6074,Could be better.,en
6075,Worst day ever.,en
6076,यह ठीक था।,hi
6077,What a beautiful day!,en
6078,मैं इससे खुश नहीं हूँ।,hi
6079,"Nicht schlecht, aber nicht gut.",de
6080,Could be better.,en
6081,This is terrible...,en
6082,این بهترین روز من بود,fa
6083,Ich bin enttäuscht.,de
6084,این بهترین روز من بود,fa
6085,This is terrible...,en
6086,Das war unglaublich!,de
6087,I love this!,en
6088,Could be better.,en
6089,Ich bin enttäuscht.,de
6090,"Nicht schlecht, aber nicht gut.",de
6091,Ich bin enttäuscht.,de
6092,I love this!,en
6093,Das war unglaublich!,de
6094,Das war unglaublich!,de
6095,مقبول لكنه ليس الأفضل,ar
6096,Ich bin enttäuscht.,de
6097,I love this!,en
6098,What a beautiful day!,en
6099,Ich bin enttäuscht.,de
6100,I am so tired of this nonsense.,en
6101,I love this!,en
6102,मैं इससे खुश नहीं हूँ।,hi
6103,Could be better.,en
6104,Could be better.,en
6105,خوب بود اما می‌توانست بهتر باشد,fa
6106,बहुत ही अच्छा प्रदर्शन!,hi
6107,خوب بود اما می‌توانست بهتر باشد,fa
6108,خوب بود اما می‌توانست بهتر باشد,fa
6109,I love this!,en
6110,I am so tired of this nonsense.,en
6111,خوب بود اما می‌توانست بهتر باشد,fa
6112,बहुत ही अच्छा प्रदर्शन!,hi
6113,لا يعجبني هذا,ar
6114,من خیلی ناراحتم,fa
